Nome do Advogado Principal,Inscrição OAB,CPF do autor,CNPJ do Réu,Ação,Classe,Comarca,UF,Juizado Especial
Paula Santos,62874/RJ,412.536.987-72,58.486.155/3204-75,Ação de Indenização,Embargos de Declaração Cível,Florianópolis,RJ,Juizado especial cívil
Paula Almeida,24717/SP,133.650.548-91,53.253.415/7927-16,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Curitiba,PE,Juizado especial cívil
Maria Santos,88723/PE,631.883.152-61,50.854.670/9432-81,Ação de Indenização,Apelação Cível,Porto Alegre,SP,Juizado especial cívil
José Silva,61446/SP,878.678.989-80,20.347.738/1129-94,Ação de Execução,Apelação Cível,Porto Alegre,PE,Juizado especial cívil
Paula Santos,62874/RJ,648.238.442-30,46.560.549/3522-56,Ação Revisional,Apelação Cível,Florianópolis,BA,Juizado especial cívil
Paula Oliveira,60301/RS,562.315.403-78,43.116.982/6636-82,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Belo Horizonte,PE,Juizado especial cívil
Paula Silva,40904/RS,982.428.550-75,28.596.788/9778-74,Ação Revisional,Apelação Cível,Recife,RJ,Juizado especial cívil
Ana Oliveira,23059/BA,949.880.836-84,10.456.981/4669-59,Ação de Execução,Apelação Cível,Salvador,RJ,Juizado especial cívil
Paula Silva,40904/RS,330.914.332-87,80.283.182/5386-86,Ação de Execução,Embargos de Declaração Cível,São Paulo,RJ,Juizado especial cívil
Ana Pereira,91256/MG,438.583.821-48,82.893.609/2311-86,Ação de Execução,Apelação Cível,Curitiba,RJ,Juizado especial cívil
João Pereira,22605/BA,772.588.804-50,73.832.497/7416-54,Ação de Indenização,Apelação Cível,Salvador,RS,Juizado especial cívil
João Santos,97633/RS,458.346.234-48,15.338.983/9546-64,Ação de Obrigação de Fazer,Embargos de Declaração Cível,São Paulo,MG,Juizado especial cívil
João Almeida,66094/PE,933.473.718-29,13.241.275/5144-82,Ação Revisional,Embargos de Declaração Cível,Rio de Janeiro,PR,Juizado especial cívil
José Oliveira,19475/SC,834.514.481-17,54.843.163/1722-57,Ação de Execução,Embargos de Declaração Cível,Salvador,PR,Juizado especial cívil
Pedro Almeida,16606/RS,293.290.194-93,39.609.257/1277-86,Ação de Execução,Apelação Cível,Recife,BA,Juizado especial cívil
Ana Silva,61124/RJ,938.960.474-79,33.818.851/4381-70,Ação de Execução,Embargos de Declaração Cível,Belo Horizonte,SP,Juizado especial cívil
José Oliveira,19475/SC,604.349.871-37,52.287.297/3811-77,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Florianópolis,SC,Juizado especial cívil
Carlos Oliveira,97945/SC,884.863.426-37,75.503.427/6018-64,Ação de Cobrança,Apelação Cível,Porto Alegre,RJ,Juizado especial cívil
Pedro Almeida,16606/RS,972.867.371-23,14.266.799/5715-20,Ação de Indenização,Apelação Cível,Curitiba,SP,Juizado especial cívil
Paula Almeida,24717/SP,696.180.517-70,40.641.587/3429-66,Ação Revisional,Embargos de Declaração Cível,Recife,SP,Juizado especial cívil
Pedro Almeida,16606/RS,311.562.181-29,69.579.672/3908-83,Ação de Indenização,Apelação Cível,Rio de Janeiro,PR,Juizado especial cívil
Maria Santos,88723/PE,416.292.727-35,90.808.621/8944-50,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Recife,SC,Juizado especial cívil
Pedro Pereira,73060/RS,683.138.701-37,37.165.240/3766-24,Ação de Execução,Apelação Cível,Rio de Janeiro,SP,Juizado especial cívil
Carlos Almeida,30238/PR,380.225.392-36,11.399.276/8398-15,Ação de Cobrança,Apelação Cível,Salvador,SP,Juizado especial cívil
João Silva,61916/SP,169.735.714-14,40.909.150/7516-99,Ação de Obrigação de Fazer,Embargos de Declaração Cível,Belo Horizonte,PE,Juizado especial cívil
Carlos Santos,82014/SP,921.619.177-92,63.495.357/7043-20,Ação de Indenização,Embargos de Declaração Cível,São Paulo,SP,Juizado especial cívil
Maria Oliveira,40633/PR,852.106.975-43,44.723.725/4439-89,Ação de Indenização,Apelação Cível,Salvador,SC,Juizado especial cívil
Paula Santos,62874/RJ,157.585.961-40,54.531.776/9839-31,Ação Revisional,Apelação Cível,Rio de Janeiro,PE,Juizado especial cívil
Ana Almeida,60659/PE,775.430.187-83,17.370.740/4080-44,Ação de Obrigação de Fazer,Apelação Cível,Porto Alegre,SP,Juizado especial cívil
Carlos Oliveira,97945/SC,722.436.223-23,19.367.411/5297-96,Ação de Indenização,Apelação Cível,Florianópolis,BA,Juizado especial cívil
Maria Santos,88723/PE,650.409.771-79,11.716.773/9763-40,Ação de Execução,Embargos de Declaração Cível,Porto Alegre,BA,Juizado especial cívil
Ana Santos,63208/PR,760.231.548-83,50.741.683/5409-28,Ação de Indenização,Embargos de Declaração Cível,Curitiba,BA,Juizado especial cívil
Pedro Oliveira,70707/RS,628.659.185-46,41.333.245/2868-51,Ação Revisional,Embargos de Declaração Cível,Porto Alegre,SP,Juizado especial cívil
Paula Oliveira,60301/RS,448.100.513-10,72.755.885/9211-84,Ação de Obrigação de Fazer,Apelação Cível,Salvador,BA,Juizado especial cívil
José Silva,61446/SP,400.745.244-57,68.146.380/1469-25,Ação de Obrigação de Fazer,Apelação Cível,Rio de Janeiro,PR,Juizado especial cívil
Pedro Oliveira,70707/RS,493.611.379-95,73.647.807/3545-38,Ação de Cobrança,Apelação Cível,Recife,PR,Juizado especial cívil
Ana Santos,63208/PR,228.344.351-50,13.622.173/2839-28,Ação de Cobrança,Apelação Cível,Rio de Janeiro,PE,Juizado especial cívil
Paula Pereira,45596/SC,265.292.756-60,19.342.435/7786-23,Ação de Cobrança,Embargos de Declaração Cível,Belo Horizonte,PE,Juizado especial cívil
Pedro Santos,39683/PE,195.411.406-46,91.918.767/2601-39,Ação Revisional,Apelação Cível,São Paulo,SC,Juizado especial cívil
